#Fatima Time Corrections    differences
#Fat ID     Ch.1-Chx:
0    38.169037
1    0    
2    -12.161027
3    115.744255
4    12.650514
5    9.316436
6    136.151413
7    -15.447089
8    -71.018097
9    17.091473
10    239.347412
11    -6.770317
12    -40.107502
13    251.873062
14    0.583299
15    -38.495224
16    31.376122
17    -10.545341
18    -14.943659
19    17.401279
20    57.500809
21    -11.889187
22    228.568817
23    238.917679
24    -29.016563
25    15.139100
26    205.122391
27    -5.126949
28    -86.502136
29    51.739563
30    109.418571
31    69.007652
32    303.775787
33    254.819321
34    178.848465
35    176.957092
36      0
37      0
38      0
39      0
40      0
41      0
42      0
43      0
44      0
45      0
46      0
47      0
48      0
49      0
50      0
