# Det   A           B               C           D
01     8.833870E-10    -1.391090E-05   2.334298E-01    -626.285127
02     9.678857E-10    -1.570918E-05   2.520293E-01    -659.542358
03     8.291170E-10    -1.365883E-05   2.567891E-01    -694.907494
04     1.063662E-09    -1.711620E-05   2.651547E-01    -710.195453
05     9.642655E-10    -1.676266E-05   2.598106E-01    -698.989551
06     9.319178E-10    -1.501422E-05   2.496118E-01    -667.438336
07     1.034324E-09    -1.639257E-05   2.729202E-01    -720.343230
08     9.226179E-10    -1.505096E-05   2.581509E-01    -701.835786
09     9.350748E-10    -1.502761E-05   2.525756E-01    -675.959230
10     1.132621E-09    -1.914454E-05   2.537702E-01    -645.075037
11     9.298507E-10    -1.538826E-05   2.578634E-01    -675.357414
12     8.408835E-10    -1.392222E-05   2.361755E-01    -631.877201
13     1.225867E-09    -1.828736E-05   2.618790E-01    -656.254456
14     8.557148E-10    -1.409062E-05   2.410819E-01    -638.412406
15     9.869771E-10    -1.644499E-05   2.508119E-01    -659.514733
16     9.698780E-10    -1.641881E-05   2.675345E-01    -738.231597
17     8.560775E-10    -1.326896E-05   2.239581E-01    -599.273722
18     1.013630E-09    -1.585730E-05   2.321196E-01    -608.807681
19     7.698531E-10    -1.202547E-05   2.422320E-01    -650.005600
20     1.155819E-09    -1.751952E-05   2.507930E-01    -657.249692
21     9.065868E-10    -1.474800E-05   2.289783E-01    -590.191450
22     1.188543E-09    -2.101381E-05   2.734140E-01    -736.140725
23     1.102972E-09    -1.749451E-05   2.686167E-01    -721.485517
24     1.050855E-09    -1.778219E-05   2.515429E-01    -654.941904
25     9.596537E-10    -1.533134E-05   2.377268E-01    -632.758093
26     9.639048E-10    -1.649615E-05   2.560014E-01    -692.749032
27     9.137230E-10    -1.567822E-05   2.325119E-01    -610.228608
28     1.033169E-09    -1.635161E-05   2.492538E-01    -642.480421
29     9.791300E-10    -1.495035E-05   2.572352E-01    -676.801983
30     1.076199E-09    -1.674067E-05   2.423776E-01    -625.983032
31     1.135241E-09    -1.760871E-05   2.382534E-01    -594.056523
32     1.058301E-09    -1.725224E-05   2.570678E-01    -683.857379
33     6.450190E-10    -1.050266E-05   2.113450E-01    -589.325712
34    -7.541567E-10    -1.234357E-05   2.345863E-01    -635.827020
35     9.016267E-10    -1.455807E-05   2.458137E-01    -643.763484
36     8.672393E-10    -1.378508E-05   2.460675E-01    -666.239507
#Ignore below but dont remove
36     0               0           0               0
37     0               0           0               0
38     0               0           0               0 
39     0               0           0               0 
40     0               0           0               0 
41     0               0           0               0
42     0               0           0               0 
43     0               0           0               0
44     0               0           0               0  
45     0               0           0               0 
46     0               0           0               0 
47     0               0           0               0 
48     0               0           0               0 
49     0               0           0               0
48	   0	0	0	0
49     0	0	0	0
50	   0	0	0	0
51	0	0	0	0
52	0	0	0	0
53	0	0	0	0
54	0	0	0	0
55	0	0	0	0
56	0	0	0	0
57	0	0	0	0
58	0	0	0	0
59	0	0	0	0
60	0	0	0	0
61	0	0	0	0
62	0	0	0	0
63	0	0	0	0
64	0	0	0	0
65	0	0	0	0


